step,mode,top_k,seed,diagnostic_loss,expert_output_similarity,lora_update_similarity,gradient_similarity,output_valid_values,update_valid_pairs,gradient_valid_pairs
0,riemannian,4,0,1.3910822868347168,nan,nan,0.013218997977674007,0,0,28
20,riemannian,4,0,1.3291467428207397,0.3061579465866089,0.20618776977062225,-0.014336701482534409,7168,28,28
40,riemannian,4,0,1.1830122470855713,0.4467093348503113,0.3676993250846863,-0.03193444013595581,7168,28,28
60,riemannian,4,0,1.0703933238983154,0.476818323135376,0.41863933205604553,-0.04660638049244881,7168,28,28
80,riemannian,4,0,0.9931559562683105,0.4783075749874115,0.43158143758773804,-0.04195477068424225,7168,28,28
100,riemannian,4,0,0.9326401352882385,0.4621381163597107,0.42402490973472595,-0.034738946706056595,7168,28,28
120,riemannian,4,0,0.8893133401870728,0.44892194867134094,0.4172503352165222,-0.021978911012411118,7168,28,28
140,riemannian,4,0,0.8582915663719177,0.4293891489505768,0.4047752320766449,-0.006339001934975386,7168,28,28
160,riemannian,4,0,0.8352372646331787,0.4123308062553406,0.3907686173915863,0.0014318504836410284,7168,28,28
180,riemannian,4,0,0.8162655234336853,0.3952425718307495,0.3781420588493347,-0.0013091990258544683,7168,28,28
200,riemannian,4,0,0.80083167552948,0.37903815507888794,0.3670504689216614,-0.015742991119623184,7168,28,28
220,riemannian,4,0,0.7859036922454834,0.3654954731464386,0.3576008379459381,3.212770388927311e-05,7168,28,28
240,riemannian,4,0,0.7732903957366943,0.3517553508281708,0.3461141884326935,0.00829043984413147,7168,28,28
260,riemannian,4,0,0.7593130469322205,0.3399883806705475,0.3360847532749176,0.022388869896531105,7168,28,28
280,riemannian,4,0,0.752663254737854,0.3267744183540344,0.32587167620658875,0.02021760120987892,7168,28,28
300,riemannian,4,0,0.7407693266868591,0.3111759126186371,0.3140197694301605,0.009660037234425545,7168,28,28
