step,mode,top_k,seed,diagnostic_loss,expert_output_similarity,lora_update_similarity,gradient_similarity,output_valid_values,update_valid_pairs,gradient_valid_pairs
0,moe-riemannian,8,4,0.9222496747970581,nan,nan,-0.005353872664272785,0,0,28
20,moe-riemannian,8,4,0.8387516736984253,0.4608386754989624,0.4784304201602936,-0.0034699132665991783,7168,28,28
40,moe-riemannian,8,4,0.7433603405952454,0.5546998381614685,0.5638495683670044,-0.011396056972444057,7168,28,28
60,moe-riemannian,8,4,0.6826369166374207,0.5839145183563232,0.5780656933784485,0.003143438370898366,7168,28,28
80,moe-riemannian,8,4,0.6572034955024719,0.5819225311279297,0.5647522211074829,-0.012390900403261185,7168,28,28
100,moe-riemannian,8,4,0.6403610110282898,0.5710267424583435,0.5491981506347656,-0.023316247388720512,7168,28,28
120,moe-riemannian,8,4,0.6254178881645203,0.5550289154052734,0.5376437306404114,0.0012301824754104018,7168,28,28
140,moe-riemannian,8,4,0.6153076887130737,0.5432199835777283,0.5241166949272156,-0.01658603362739086,7168,28,28
160,moe-riemannian,8,4,0.6103843450546265,0.5364912152290344,0.5173146724700928,-0.014305287972092628,7168,28,28
180,moe-riemannian,8,4,0.6042332649230957,0.529775857925415,0.5127800107002258,-0.011632411740720272,7168,28,28
200,moe-riemannian,8,4,0.6001917123794556,0.5206500887870789,0.5034862756729126,-0.008486639708280563,7168,28,28
220,moe-riemannian,8,4,0.599388599395752,0.5119590163230896,0.4924998879432678,-0.013587684370577335,7168,28,28
240,moe-riemannian,8,4,0.5957461595535278,0.5028029084205627,0.48417380452156067,-0.00234566000290215,7168,28,28
260,moe-riemannian,8,4,0.5967042446136475,0.49882692098617554,0.4808514714241028,-0.008520839735865593,7168,28,28
280,moe-riemannian,8,4,0.5914731621742249,0.49617108702659607,0.47926366329193115,-0.010267381556332111,7168,28,28
300,moe-riemannian,8,4,0.5890066623687744,0.4914555847644806,0.47438687086105347,0.00383815192617476,7168,28,28
