epoch,optimizer_step,micro_step,train_loss,val_loss,update_cosine,gate_entropy,gate_entropy_norm,ba_cosine,output_cosine,setting
1,200,800,1.876828055754304,1.14190302778091,0.0437607494178077,2.292030249323164,0.9954160896363844,0.0197788805308322,0.3282619504585987,RSGD K=10
1,400,1600,0.6099649298191071,0.25077591197732,0.1011041834976508,2.291758324418749,0.9952979941509053,0.0778719763903232,0.4095012815227643,RSGD K=10
1,600,2400,0.1624306714354315,0.1281355065866999,0.0859271994543132,2.291737990719932,0.995289163337712,0.0960839860488049,0.422744503245001,RSGD K=10
1,800,3200,0.1153006699259276,0.1092586305490677,0.0991731533033212,2.291730088847024,0.9952857315979114,0.1020410230293262,0.4240052137395739,RSGD K=10
1,814,3254,0.1004618634469807,0.1082492350029877,0.0926893476573965,2.291737599032266,0.99528899322992,0.1024157012608862,0.423986029050855,RSGD K=10
1,200,800,0.8645446162507869,0.1246103688230939,0.1090420260296959,2.291755037648337,0.995296566724652,0.1066353411648919,0.4498616013163732,gRSGD K=10
1,400,1600,0.1044812811305746,0.0940590791543576,0.1108519558041719,2.2917449133736745,0.9952921698080328,0.1218874438971478,0.4506851678249302,gRSGD K=10
1,600,2400,0.0854679455509176,0.087710655141998,0.1120517390788996,2.2917434573173523,0.9952915374508066,0.1287368158926096,0.452801567599032,gRSGD K=10
1,800,3200,0.0831219543443876,0.083263512353342,0.1254864808091045,2.291735734258379,0.9952881833689112,0.1330175208655411,0.4508468647849604,gRSGD K=10
1,814,3254,0.0654312285413551,0.0831547254749049,0.1186977701469217,2.291734678404672,0.9952877248174724,0.1335266949346327,0.4515969649863095,gRSGD K=10
