step,mode,top_k,seed,diagnostic_loss,expert_output_similarity,lora_update_similarity,gradient_similarity,output_valid_values,update_valid_pairs,gradient_valid_pairs
0,riemannian,4,4,0.9222496747970581,nan,nan,-0.029929857701063156,0,0,28
20,riemannian,4,4,0.9005481004714966,0.23530323803424835,0.2006225287914276,-0.030290821567177773,7168,28,28
40,riemannian,4,4,0.8458923697471619,0.3518795073032379,0.3311016261577606,-0.036904823035001755,7168,28,28
60,riemannian,4,4,0.7769839763641357,0.41104719042778015,0.39797335863113403,-0.04892697185277939,7168,28,28
80,riemannian,4,4,0.7257943153381348,0.42653998732566833,0.4142937958240509,-0.04385130852460861,7168,28,28
100,riemannian,4,4,0.6860437393188477,0.4281572997570038,0.41244420409202576,-0.042227841913700104,7168,28,28
120,riemannian,4,4,0.6532266139984131,0.42324674129486084,0.4085673689842224,-0.02641396038234234,7168,28,28
140,riemannian,4,4,0.6277363300323486,0.41165322065353394,0.3982636034488678,-0.026160147041082382,7168,28,28
160,riemannian,4,4,0.6098541021347046,0.4012357294559479,0.38849133253097534,-0.01347274798899889,7168,28,28
180,riemannian,4,4,0.5923601388931274,0.3882827162742615,0.38027289509773254,-0.012840861454606056,7168,28,28
200,riemannian,4,4,0.5770611763000488,0.37640151381492615,0.36974528431892395,-0.008181553333997726,7168,28,28
220,riemannian,4,4,0.564886212348938,0.3642764389514923,0.3569481074810028,0.0020126127637922764,7168,28,28
240,riemannian,4,4,0.553551197052002,0.3496420979499817,0.34520041942596436,0.0005898380186408758,7168,28,28
260,riemannian,4,4,0.5475140810012817,0.3358452022075653,0.3350994288921356,-0.004692830145359039,7168,28,28
280,riemannian,4,4,0.5380207896232605,0.3251368999481201,0.32644882798194885,0.00391613831743598,7168,28,28
300,riemannian,4,4,0.5299874544143677,0.3121064603328705,0.31608209013938904,0.007110845297574997,7168,28,28
