step,mode,top_k,seed,diagnostic_loss,expert_output_similarity,lora_update_similarity,gradient_similarity,output_valid_values,update_valid_pairs,gradient_valid_pairs
0,riemannian,4,1,0.9297115802764893,nan,nan,-0.027972403913736343,0,0,28
20,riemannian,4,1,0.9093421697616577,0.19044426083564758,0.13274899125099182,-0.02848069742321968,7168,28,28
40,riemannian,4,1,0.8648536801338196,0.2858043611049652,0.2309582531452179,-0.025082146748900414,7168,28,28
60,riemannian,4,1,0.8089191317558289,0.3430468738079071,0.2984656095504761,-0.016633404418826103,7168,28,28
80,riemannian,4,1,0.7617152333259583,0.356697142124176,0.323953777551651,-0.016274454072117805,7168,28,28
100,riemannian,4,1,0.7149130702018738,0.36954233050346375,0.34171250462532043,-0.015626084059476852,7168,28,28
120,riemannian,4,1,0.6816346645355225,0.371395468711853,0.345302939414978,-0.007223781198263168,7168,28,28
140,riemannian,4,1,0.6576061248779297,0.36709901690483093,0.34435051679611206,-0.008605018258094788,7168,28,28
160,riemannian,4,1,0.6420965194702148,0.36240851879119873,0.34366169571876526,-0.0031979596242308617,7168,28,28
180,riemannian,4,1,0.627896785736084,0.35147416591644287,0.3377697169780731,-0.0006587814423255622,7168,28,28
200,riemannian,4,1,0.6157515048980713,0.3417326509952545,0.33032798767089844,-0.0031529527623206377,7168,28,28
220,riemannian,4,1,0.6073610782623291,0.33194249868392944,0.32385534048080444,-0.005021144635975361,7168,28,28
240,riemannian,4,1,0.5967650413513184,0.3177623152732849,0.3148047924041748,-0.0066727083176374435,7168,28,28
260,riemannian,4,1,0.5896018743515015,0.3068877160549164,0.3072957396507263,-0.00728765781968832,7168,28,28
280,riemannian,4,1,0.581918478012085,0.2961818277835846,0.2997387945652008,0.001154482364654541,7168,28,28
300,riemannian,4,1,0.5743030905723572,0.28283989429473877,0.2893858850002289,0.011448247358202934,7168,28,28
