step,mode,top_k,seed,diagnostic_loss,expert_output_similarity,lora_update_similarity,gradient_similarity,output_valid_values,update_valid_pairs,gradient_valid_pairs
0,moe-riemannian,8,1,0.9297115802764893,nan,nan,-0.05049270763993263,0,0,28
20,moe-riemannian,8,1,0.8595479726791382,0.41625458002090454,0.3346587121486664,-0.05482417717576027,7168,28,28
40,moe-riemannian,8,1,0.766834020614624,0.5461485981941223,0.4941118359565735,-0.033368904143571854,7168,28,28
60,moe-riemannian,8,1,0.7204582691192627,0.5656152963638306,0.5360020995140076,-0.029550421983003616,7168,28,28
80,moe-riemannian,8,1,0.6964118480682373,0.5530360341072083,0.5389650464057922,-0.025657035410404205,7168,28,28
100,moe-riemannian,8,1,0.6778074502944946,0.5498978495597839,0.5421727895736694,-0.020023614168167114,7168,28,28
120,moe-riemannian,8,1,0.6664789915084839,0.5408037900924683,0.531988263130188,-0.03842630237340927,7168,28,28
140,moe-riemannian,8,1,0.6601604223251343,0.5288518667221069,0.5243861079216003,-0.034868791699409485,7168,28,28
160,moe-riemannian,8,1,0.6570673584938049,0.5231529474258423,0.5219210386276245,-0.035513874143362045,7168,28,28
180,moe-riemannian,8,1,0.652461588382721,0.5099992752075195,0.5130409002304077,-0.039350152015686035,7168,28,28
200,moe-riemannian,8,1,0.6474567651748657,0.5046378970146179,0.508132815361023,-0.056031618267297745,7168,28,28
220,moe-riemannian,8,1,0.6443533897399902,0.49891793727874756,0.5033738017082214,-0.058632273226976395,7168,28,28
240,moe-riemannian,8,1,0.64131760597229,0.4886084198951721,0.49600619077682495,-0.06008762866258621,7168,28,28
260,moe-riemannian,8,1,0.641369104385376,0.48512065410614014,0.4940372407436371,-0.0747779831290245,7168,28,28
280,moe-riemannian,8,1,0.6386085748672485,0.4769001007080078,0.4861619472503662,-0.06570360064506531,7168,28,28
300,moe-riemannian,8,1,0.6352666616439819,0.4665483236312866,0.4763120412826538,-0.05689213424921036,7168,28,28
