step,mode,top_k,seed,diagnostic_loss,expert_output_similarity,lora_update_similarity,gradient_similarity,output_valid_values,update_valid_pairs,gradient_valid_pairs
0,riemannian,8,3,1.2568113803863525,nan,nan,-0.011225981637835503,0,0,28
20,riemannian,8,3,1.2200007438659668,0.4027763307094574,0.30592185258865356,-0.03681092709302902,7168,28,28
40,riemannian,8,3,1.1361145973205566,0.6153887510299683,0.5397202372550964,-0.06002093479037285,7168,28,28
60,riemannian,8,3,1.061744213104248,0.6890236735343933,0.6395596861839294,-0.06385765969753265,7168,28,28
80,riemannian,8,3,1.016369342803955,0.7228989005088806,0.6778382062911987,-0.06168237328529358,7168,28,28
100,riemannian,8,3,0.9849226474761963,0.7331452965736389,0.6952579617500305,-0.05569899454712868,7168,28,28
120,riemannian,8,3,0.9578681588172913,0.7378591895103455,0.7046993970870972,-0.045805636793375015,7168,28,28
140,riemannian,8,3,0.939784049987793,0.7346068620681763,0.7040451765060425,-0.031040916219353676,7168,28,28
160,riemannian,8,3,0.9273535013198853,0.7240349650382996,0.696736216545105,-0.025979187339544296,7168,28,28
180,riemannian,8,3,0.9158850908279419,0.7179774045944214,0.6916072368621826,-0.014608354307711124,7168,28,28
200,riemannian,8,3,0.9064856767654419,0.7046188712120056,0.6811161637306213,-0.010412654839456081,7168,28,28
220,riemannian,8,3,0.8986694812774658,0.6952749490737915,0.6712650656700134,-0.006085817702114582,7168,28,28
240,riemannian,8,3,0.8911247253417969,0.6840221881866455,0.6610201597213745,-0.0022442853078246117,7168,28,28
260,riemannian,8,3,0.8847798109054565,0.6712625026702881,0.6496900916099548,0.005702679045498371,7168,28,28
280,riemannian,8,3,0.880500853061676,0.6612310409545898,0.6366144418716431,0.0015310837188735604,7168,28,28
300,riemannian,8,3,0.8762689232826233,0.6499319076538086,0.6273133754730225,0.004810665734112263,7168,28,28
