step,mode,top_k,seed,diagnostic_loss,expert_output_similarity,lora_update_similarity,gradient_similarity,output_valid_values,update_valid_pairs,gradient_valid_pairs
0,riemannian,8,4,0.9222496747970581,nan,nan,-0.004967647138983011,0,0,28
20,riemannian,8,4,0.905637264251709,0.26894208788871765,0.23798947036266327,-0.003824053332209587,7168,28,28
40,riemannian,8,4,0.8677957653999329,0.4029459059238434,0.4012373983860016,-0.0057357861660420895,7168,28,28
60,riemannian,8,4,0.8211151361465454,0.4848940968513489,0.49804893136024475,-0.010563099756836891,7168,28,28
80,riemannian,8,4,0.782488226890564,0.5268375277519226,0.5433127284049988,-0.011274506337940693,7168,28,28
100,riemannian,8,4,0.7517448663711548,0.5504782199859619,0.5586058497428894,-0.010969565249979496,7168,28,28
120,riemannian,8,4,0.7240052223205566,0.5617601871490479,0.5645405054092407,-0.0026503887493163347,7168,28,28
140,riemannian,8,4,0.7015208601951599,0.566436231136322,0.5604355335235596,-0.0016271664062514901,7168,28,28
160,riemannian,8,4,0.6845684051513672,0.5683175921440125,0.5588142275810242,0.001913373009301722,7168,28,28
180,riemannian,8,4,0.6682742238044739,0.5683666467666626,0.5577594637870789,0.00487078633159399,7168,28,28
200,riemannian,8,4,0.6557366847991943,0.568153977394104,0.5547918677330017,0.007089634425938129,7168,28,28
220,riemannian,8,4,0.647230863571167,0.5644536018371582,0.5472566485404968,0.006851521320641041,7168,28,28
240,riemannian,8,4,0.6395305395126343,0.5597953796386719,0.5416579246520996,0.004548891447484493,7168,28,28
260,riemannian,8,4,0.6348442435264587,0.5560789108276367,0.5383731126785278,0.002752838423475623,7168,28,28
280,riemannian,8,4,0.6280906796455383,0.5540564656257629,0.5362141132354736,0.0019093668088316917,7168,28,28
300,riemannian,8,4,0.6234586834907532,0.550265908241272,0.5320512056350708,0.007211168296635151,7168,28,28
