step,mode,top_k,seed,diagnostic_loss,expert_output_similarity,lora_update_similarity,gradient_similarity,output_valid_values,update_valid_pairs,gradient_valid_pairs
0,moe-riemannian,4,4,0.9222496747970581,nan,nan,-0.030410239472985268,0,0,28
20,moe-riemannian,4,4,0.8533140420913696,0.3482993245124817,0.32522648572921753,-0.032809317111968994,7168,28,28
40,moe-riemannian,4,4,0.7396790981292725,0.4302235543727875,0.4228472113609314,-0.057728927582502365,7168,28,28
60,moe-riemannian,4,4,0.6593034267425537,0.440957635641098,0.4304966330528259,-0.04022033140063286,7168,28,28
80,moe-riemannian,4,4,0.6229623556137085,0.42578086256980896,0.4091621935367584,-0.016698194667696953,7168,28,28
100,moe-riemannian,4,4,0.5967403650283813,0.40013444423675537,0.3840489685535431,-0.0026542663108557463,7168,28,28
120,moe-riemannian,4,4,0.5745598077774048,0.37582486867904663,0.3670525848865509,0.009268766269087791,7168,28,28
140,moe-riemannian,4,4,0.5593291521072388,0.3493047058582306,0.3480371832847595,0.0195318516343832,7168,28,28
160,moe-riemannian,4,4,0.5464751720428467,0.33038249611854553,0.3324887454509735,0.010696769692003727,7168,28,28
180,moe-riemannian,4,4,0.5298976898193359,0.30932313203811646,0.3194991648197174,0.007498662918806076,7168,28,28
200,moe-riemannian,4,4,0.5170520544052124,0.28888246417045593,0.30334344506263733,0.01266912929713726,7168,28,28
220,moe-riemannian,4,4,0.5076399445533752,0.27161329984664917,0.28770312666893005,0.021090317517518997,7168,28,28
240,moe-riemannian,4,4,0.49993830919265747,0.2537892758846283,0.27415525913238525,0.03864045813679695,7168,28,28
260,moe-riemannian,4,4,0.4950966238975525,0.23599496483802795,0.26061391830444336,0.03379311040043831,7168,28,28
280,moe-riemannian,4,4,0.4845101833343506,0.2233145385980606,0.24957744777202606,0.03332700580358505,7168,28,28
300,moe-riemannian,4,4,0.4796123802661896,0.20851176977157593,0.23822245001792908,0.04104424640536308,7168,28,28
