step,mode,top_k,seed,diagnostic_loss,expert_output_similarity,lora_update_similarity,gradient_similarity,output_valid_values,update_valid_pairs,gradient_valid_pairs
0,moe-riemannian,8,2,1.2237920761108398,nan,nan,0.09984330087900162,0,0,28
20,moe-riemannian,8,2,1.066259503364563,0.5406770706176758,0.5372104644775391,0.09643861651420593,7168,28,28
40,moe-riemannian,8,2,0.9434299468994141,0.61733478307724,0.6277467012405396,0.08025230467319489,7168,28,28
60,moe-riemannian,8,2,0.8853262662887573,0.638884425163269,0.6534711718559265,0.05229223147034645,7168,28,28
80,moe-riemannian,8,2,0.8498542308807373,0.6302839517593384,0.638758659362793,0.06385944783687592,7168,28,28
100,moe-riemannian,8,2,0.8322640657424927,0.6106739044189453,0.6134762763977051,0.056904327124357224,7168,28,28
120,moe-riemannian,8,2,0.8145936727523804,0.6004312634468079,0.5974399447441101,0.0599939227104187,7168,28,28
140,moe-riemannian,8,2,0.8044446706771851,0.5877989530563354,0.58406001329422,0.04307597130537033,7168,28,28
160,moe-riemannian,8,2,0.7971349954605103,0.5710787177085876,0.5686047673225403,0.0699830874800682,7168,28,28
180,moe-riemannian,8,2,0.7913862466812134,0.5727238059043884,0.5714483261108398,0.06560899317264557,7168,28,28
200,moe-riemannian,8,2,0.7843858599662781,0.5596285462379456,0.5558847188949585,0.06595833599567413,7168,28,28
220,moe-riemannian,8,2,0.7787432074546814,0.5469545125961304,0.543609619140625,0.041940513998270035,7168,28,28
240,moe-riemannian,8,2,0.7753613591194153,0.5411157011985779,0.5387428998947144,0.04838201031088829,7168,28,28
260,moe-riemannian,8,2,0.7678709030151367,0.5309785604476929,0.5291702151298523,0.04545881971716881,7168,28,28
280,moe-riemannian,8,2,0.7606277465820312,0.5207864046096802,0.5190101861953735,0.039571311324834824,7168,28,28
300,moe-riemannian,8,2,0.7547582387924194,0.503300666809082,0.5019526481628418,0.021373318508267403,7168,28,28
