step,train_loss,val_loss,update_cosine,gate_entropy,gate_entropy_norm,ba_cosine,output_cosine,setting
20,2.322699522972107,2.3021293115615844,0.0001442040995466,1.3808661273547582,0.9960843570331288,0.0003188864108293,0.0649144841781993,RSGD K=4
40,2.140417027473449,1.991894142627716,0.0005174101813966,1.3809106818267278,0.9961164962910088,0.0005974720961858,0.07970432068539,RSGD K=4
60,1.752145379781723,1.5802157425880432,0.0011767836824131,1.3808427453041077,0.9960674904488692,0.0011583141209771,0.0928926425882514,RSGD K=4
80,1.5559710741043091,1.2990266090631486,0.0023273694010297,1.3807493107659476,0.9960000916764437,0.0018896622125471,0.1027616080597416,RSGD K=4
100,1.2539664506912231,1.0807629522681237,0.0032193803622571,1.3806604487555367,0.995935991285572,0.0026613511723424,0.1139011484741027,RSGD K=4
20,2.2720875561237337,2.0188369488716127,0.0004906669104021,1.3809209764003754,0.9961239222561834,0.0005646220459328,0.0779898623972028,gRSGD K=4
40,1.616655069589615,1.3225212889909743,0.0020413312980465,1.3807731185640608,0.9960172653725796,0.0019022436655112,0.0969876153836517,gRSGD K=4
60,1.103009571135044,0.9382665106654168,0.0041826740519589,1.380629973752158,0.995914008217449,0.0036170980295053,0.1204178322701939,gRSGD K=4
80,0.7678247593343258,0.4806688031554222,0.0074465190131326,1.3804091896329609,0.9957547461405126,0.0082456104254863,0.1490103839386394,gRSGD K=4
100,0.3675800457596779,0.2666739738546312,0.0097322136287131,1.3803948036261968,0.9957443688302042,0.0136671841341553,0.1598228765871811,gRSGD K=4
20,2.323280727863312,2.3221980237960818,0.000261742830032,2.070409774780273,0.9956566382278454,0.0004006493191258,0.1210052651170836,RSGD K=8
40,2.2853378117084504,2.299101346731186,0.0008915943617505,2.070414202553885,0.995658767536856,0.0005914136678479,0.1434669024478681,RSGD K=8
60,2.180887573957443,2.1822331607341767,0.001900387000713,2.070403678076608,0.9956537063331308,0.0011999402980027,0.1663503214114046,RSGD K=8
80,2.285968339443207,1.9605477142333985,0.005476607660339,2.070412516593933,0.995657956761502,0.0027060421336738,0.1907341762318332,RSGD K=8
100,1.9615503251552584,1.7244310867786408,0.0078037868582889,2.0703988075256348,0.995651364093219,0.0046364027973189,0.2108731386637799,RSGD K=8
20,2.3098700821399687,2.230480078458786,0.0015990844568159,2.0704335400036404,0.9956680668844776,0.0009917847286702,0.1584028834734002,gRSGD K=8
40,1.9540294229984283,1.639625179767609,0.0070625229526193,2.070412916796548,0.995658149218278,0.0056365551466074,0.2145400814532501,gRSGD K=8
60,1.395528730750084,1.2530670154094696,0.0151784781039792,2.0702617934771945,0.9955854742638134,0.0112730158316845,0.248290011219498,gRSGD K=8
80,1.1776729464530944,0.968281949609518,0.0297576850674896,2.070049090044839,0.9954831855348004,0.0218300750042129,0.2882288708718619,gRSGD K=8
100,0.8488510861992836,0.6779271593689918,0.0482979556343092,2.069912842341832,0.9954176642396464,0.039246052935229,0.3190794230722271,gRSGD K=8
