gate,RSGD,gRSGD
0.001,0.001,0.031622776601683784
0.001193776641714437,0.0011937766417144367,0.0345510729459222
0.0014251026703029977,0.0014251026703029975,0.03775053205324393
0.0017012542798525892,0.001701254279852589,0.04124626382901352
0.002030917620904735,0.002030917620904735,0.04506570337745473
0.0024244620170823282,0.002424462017082328,0.04923882631706739
0.0028942661247167516,0.0028942661247167516,0.05379838403443686
0.003455107294592218,0.0034551072945922176,0.05878016072274911
0.004124626382901352,0.004124626382901352,0.0642232542222936
0.004923882631706742,0.004923882631706742,0.07017038286703829
0.0058780160722749115,0.0058780160722749115,0.07666822074546215
0.00701703828670383,0.007017038286703829,0.0837677640068292
0.008376776400682925,0.008376776400682925,0.09152473108773891
0.01,0.01,0.1
0.01193776641714437,0.011937766417144368,0.10926008611173783
0.014251026703029985,0.014251026703029985,0.11937766417144367
0.017012542798525893,0.017012542798525893,0.13043213867190054
0.020309176209047358,0.020309176209047358,0.14251026703029981
0.024244620170823284,0.024244620170823284,0.1557068404753731
0.028942661247167517,0.028942661247167517,0.17012542798525893
0.03455107294592218,0.03455107294592218,0.18587918911465634
0.04124626382901352,0.04124626382901352,0.20309176209047355
0.04923882631706739,0.04923882631706739,0.22189823414589713
0.05878016072274912,0.058780160722749115,0.24244620170823283
0.07017038286703826,0.07017038286703826,0.26489692876105275
0.08376776400682916,0.08376776400682914,0.28942661247167495
0.1,0.1,0.3162277660168379
0.11937766417144363,0.11937766417144362,0.3455107294592219
0.1425102670302998,0.1425102670302998,0.37750532053243935
0.17012542798525887,0.17012542798525887,0.41246263829013513
0.20309176209047358,0.20309176209047355,0.45065703377454736
0.24244620170823283,0.24244620170823283,0.4923882631706739
0.289426612471675,0.28942661247167495,0.5379838403443685
0.3455107294592219,0.3455107294592219,0.5878016072274912
0.4124626382901352,0.4124626382901352,0.6422325422229358
0.4923882631706739,0.4923882631706739,0.7017038286703828
0.5878016072274913,0.5878016072274912,0.7666822074546216
0.7017038286703828,0.7017038286703828,0.8376776400682919
0.8376776400682919,0.8376776400682919,0.9152473108773889
1.0,1.0,1.0
